# Time (s)    Mass_Flux [kg/(m^2 s)]    Inflow_Vel [m/s]    Chamber_Pressure [Pa]
    0.0000             21.664320          1.855414            8457108.67
    0.0050             21.675569          1.856687            8468669.64
    0.0100             21.686761          1.857722            8480181.02
    0.0150             21.697894          1.858582            8491642.60
    0.0200             21.708970          1.859321            8503054.16
    0.0250             21.719988          1.859979            8514415.49
    0.0300             21.730948          1.860590            8525726.39
    0.0350             21.741850          1.861184            8536986.63
    0.0400             21.752693          1.861784            8548196.00
    0.0450             21.763479          1.714974            8559354.31
    0.0500             21.774206          1.134866            8570461.33
    0.0550             21.784875          1.733433            8581516.87
    0.0600             21.795486          1.712226            8592520.71
    0.0650             21.806039          1.688006            8603472.65
    0.0700             21.816532          1.661015            8614372.48
    0.0750             21.826968          1.632172            8625220.00
    0.0800             21.837345          1.603647            8636015.00
    0.0850             21.847663          1.533168            8646757.29
    0.0900             21.857922          1.451091            8657446.65
    0.0950             21.868123          1.406983            8668082.89
    0.1000             21.878264          1.393145            8678665.81
    0.1050             21.888347          1.419199            8689195.21
    0.1100             21.898371          1.578673            8699670.89
    0.1150             21.908336          1.620033            8710092.66
    0.1200             21.918242          1.647910            8720460.31
    0.1250             21.928088          1.669169            8730773.65
    0.1300             21.937876          1.686169            8741032.48
    0.1350             21.947604          1.700663            8751236.62
    0.1400             21.957273          1.138267            8761385.87
    0.1450             21.966883          1.216664            8771480.03
    0.1500             21.976433          1.192964            8781518.92
    0.1550             21.985924          1.169335            8791502.35
    0.1600             21.995355          1.146898            8801430.13
    0.1650             22.004726          1.120585            8811302.06
    0.1700             22.014038          1.112560            8821117.96
    0.1750             22.023291          1.126927            8830877.65
    0.1800             22.032483          1.167427            8840580.94
    0.1850             22.041616          1.188864            8850227.64
    0.1900             22.050689          1.505751            8859817.58
    0.1950             22.059701          1.200034            8869350.57
    0.2000             22.068654          1.170263            8878826.42
    0.2050             22.077547          1.137937            8888244.96
    0.2100             22.086380          1.106257            8897606.01
    0.2150             22.095153          1.102187            8906909.39
    0.2200             22.103865          1.100734            8916154.93
    0.2250             22.112518          1.099290            8925342.44
    0.2300             22.121110          1.097857            8934471.75
    0.2350             22.129642          1.096434            8943542.68
    0.2400             22.138113          1.095023            8952555.08
    0.2450             22.146524          1.093625            8961508.75
    0.2500             22.154874          1.092238            8970403.53
    0.2550             22.163164          1.090865            8979239.25
    0.2600             22.171394          1.089503            8988015.74
    0.2650             22.179562          1.088153            8996732.84
    0.2700             22.187670          1.086814            9005390.37
    0.2750             22.195718          1.085486            9013988.17
    0.2800             22.203704          1.084166            9022526.08
    0.2850             22.211630          1.082845            9031003.92
    0.2900             22.219495          1.081529            9039421.55
    0.2950             22.227299          1.080219            9047778.79
    0.3000             22.235042          1.078911            9056075.49
    0.3050             22.242724          1.077605            9064311.48
    0.3100             22.250345          1.076299            9072486.61
    0.3150             22.257905          1.074990            9080600.73
    0.3200             22.265403          1.073677            9088653.67
    0.3250             22.272841          1.072359            9096645.28
    0.3300             22.280217          1.071034            9104575.40
    0.3350             22.287532          1.069701            9112443.89
    0.3400             22.294786          1.067340            9120250.59
    0.3450             22.301979          1.068184            9127995.36
    0.3500             22.309110          1.069412            9135678.03
    0.3550             22.316179          1.070679            9143298.47
    0.3600             22.323187          1.071996            9150856.52
    0.3650             22.330134          1.073367            9158352.05
    0.3700             22.337019          1.074799            9165784.90
    0.3750             22.343842          1.076297            9173154.93
    0.3800             22.350604          1.077865            9180462.00
    0.3850             22.357304          1.079512            9187705.97
    0.3900             22.363942          1.081238            9194886.70
    0.3950             22.370519          1.083047            9202004.05
    0.4000             22.377034          1.084937            9209057.88
    0.4050             22.383487          1.086905            9216048.05
    0.4100             22.389878          1.088943            9222974.44
    0.4150             22.396207          1.806302            9229836.89
    0.4200             22.402474          1.807173            9236635.29
    0.4250             22.408679          1.808161            9243369.50
    0.4300             22.414822          2.287323            9250039.39
    0.4350             22.420903          1.729069            9256644.83
    0.4400             22.426922          1.710357            9263185.69
    0.4450             22.432879          1.686109            9269661.85
    0.4500             22.438774          1.659129            9276073.17
    0.4550             22.444606          1.635671            9282419.54
    0.4600             22.450377          1.619987            9288700.83
    0.4650             22.456084          1.604646            9294916.91
    0.4700             22.461730          1.590113            9301067.68
    0.4750             22.467313          1.576923            9307153.00
    0.4800             22.472834          1.565659            9313172.76
    0.4850             22.478293          1.556935            9319126.84
    0.4900             22.483689          1.551409            9325015.13
    0.4950             22.489022          1.549845            9330837.51
    0.5000             22.494293          1.553236            9336593.87
    0.5050             22.499502          1.562933            9342284.10
    0.5100             22.504648          1.575738            9347908.07
    0.5150             22.509731          1.585403            9353465.70
    0.5200             22.514752          1.593096            9358956.86
    0.5250             22.519710          1.599289            9364381.44
    0.5300             22.524605          1.604339            9369739.36
    0.5350             22.529438          1.608525            9375030.49
    0.5400             22.534208          1.611176            9380254.73
    0.5450             22.538915          1.612810            9385411.99
    0.5500             22.543559          1.614363            9390502.16
    0.5550             22.548141          1.615848            9395525.14
    0.5600             22.552660          1.617277            9400480.84
    0.5650             22.557115          1.618663            9405369.15
    0.5700             22.561508          1.620013            9410189.99
    0.5750             22.565838          1.621337            9414943.25
    0.5800             22.570105          1.622642            9419628.84
    0.5850             22.574309          1.623934            9424246.68
    0.5900             22.578450          1.625218            9428796.67
    0.5950             22.582528          1.626500            9433278.73
    0.6000             22.586543          1.627783            9437692.75
    0.6050             22.590494          1.629071            9442038.67
    0.6100             22.594383          1.630367            9446316.39
    0.6150             22.598208          1.631675            9450525.83
    0.6200             22.601971          1.632995            9454666.90
    0.6250             22.605670          1.634331            9458739.53
    0.6300             22.609306          1.635683            9462743.63
    0.6350             22.612878          1.637054            9466679.13
