Al_pct,Mg_pct,d_p0_um,L_c_m,Pc_psia,Primary_OF,Expulsion_Eff_pct,Slag_Pct,Residence_Time_ms,Target_>=90_Met
25.0,75.0,15.0,0.05,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.1,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.15000000000000002,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.2,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.25,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.3,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.35000000000000003,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.4,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.45,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,15.0,0.5,200.0,0.25,0.0,23.032500000000002,0.13,False
25.0,75.0,30.0,0.05,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.1,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.15000000000000002,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.2,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.25,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.3,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.35000000000000003,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.4,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.45,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,30.0,0.5,200.0,0.25,0.0,23.865,0.4700000000000006,False
25.0,75.0,50.0,0.05,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.1,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.15000000000000002,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.2,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.25,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.3,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.35000000000000003,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.4,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.45,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,50.0,0.5,200.0,0.25,0.0,24.975000000000016,1.2200000000000026,False
25.0,75.0,75.0,0.05,200.0,0.25,2.4064874870305215,25.72808973623158,2.4700000000000055,False
25.0,75.0,75.0,0.1,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.15000000000000002,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.2,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.25,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.3,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.35000000000000003,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.4,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.45,200.0,0.25,0.0,26.3625,2.610000000000006,False
25.0,75.0,75.0,0.5,200.0,0.25,0.0,26.3625,2.610000000000006,False
